arm,pool_mean_genre_distance,pool_mean_self_information,distinct_items_in_pools,pool_item_coverage,users
SASRec (scratch),0.7391649971624441,11.140760932343598,2638,0.7203713817586018,974
ComiRec-SA,0.7333141068722165,10.679948273313194,2437,0.6654833424358274,974
eSASRec,0.734620353824673,11.075229694512531,2677,0.7310212998361552,974
